ID	Cote	Date_categorie	Datation	Contenu	Lien à la page	Ecriture	Formalité	Nombre de lignes par page complète	Nombre de colonnes	Gallica
1235	PARIS, Musée de Cluny, Cl. 22716 b	15-16	1500 circa)	Heures (fragment) : Mois de juillet, août	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=16237&VUE_ID=1409378	Textualis	Formata	17	2	
1236	PARIS, Musée de Cluny, Cl. 22716 c	15-16	1500 circa)	Heures (fragment) : Mois de septembre, octobre	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=16238&VUE_ID=1409385	Textualis	Formata	17	2	
1055	PERIGUEUX, Bibliothèque municipale, 068	15-16	1480-1520	Heures de la Vierge						
1004	RODEZ, Bibliothèque municipale, 0138	15 (2/3)	1460-1470 circa)	Heures à l'usage de Rodez	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=2868&VUE_ID=719432	Textualis	Formata	14	1	
1052	TOURNUS, Hôtel-Dieu - Musée Greuze, inv. 82.1206	15 (3/3)	1470 circa)	Heures aux armes des Sforza-Visconti						
1018	TROYES, Bibliothèque municipale, 3900	15	1401-1500	Heures						
1241	USSEL, Musée du pays d'Ussel, 0006	15	1401-1500	Heures de Saint-Pierre du Quepoix (calendrier et litanies)						
224	EPINAL, Bibliothèque municipale, 0096 (0230)	15	1401-1500	Heures à l'usage de Toul, avec calendrier						
345	LYON, Bibliothèque municipale, 5994	14 (3/3)	1380-1400	Heures	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=12529&VUE_ID=1336062	Textualis	Formata	15	1	
1404	NON RENSEIGNÉE, Collection privée, CP 0442	16	16e s. ?	Heures						
1483	PARIS, Bibliothèque nationale de France, Manuscrits, lat. 1362	15 (3/3)	1470-1490			Cursiva	Formata	22	1	oo
1778	PARIS, Bibliothèque nationale de France, Manuscrits, nouv. acq. lat. 3197	15-16	1490-1510			Cursiva	Formata	24	1	http://gallica.bnf.fr/ark:/12148/btv1b105154676 + http://gallica.bnf.fr/ark:/12148/btv1b105154659
359	TOURS, Bibliothèque municipale, 2104	16 (1/3)	1510 circa)	Heures à l'usage de Rome	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=8547&VUE_ID=1268841	Cursiva	Formata	26	1	
1671	PARIS, Bibliothèque nationale de France, Manuscrits, lat. 18027	16 (1/3)	1501-1525						1	oo
191	CHANTILLY, Bibliothèque du château, 1476 (1943)	16 (2/3)	1549)	Heures d'Anne de Montmorency	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&panier=false&reproductionId=460&VUE_ID=230212	Hybrida	Formata	20	1	
460	REIMS, Bibliothèque municipale, 2446	15 (3/3)	1480-1500	Heures	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=17975&VUE_ID=1468509	Cursiva	Formata	18	1	
258	POITIERS, Bibliothèque municipale, 0043 (214)	15	1401-1500	Heures		Cursiva				
549	AMIENS, Bibliothèque municipale, Lescalopier 019	15 (2/3)	1440 ca et 1470 ca	Heures à l'usage de Rome	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=15354&VUE_ID=1391987	Textualis	Formata	15	1	
1450	PARIS, Bibliothèque nationale de France, Manuscrits, lat. 1181	15 (2/3)	1451-1475			Textualis	Formata	16	1	http://gallica.bnf.fr/ark:/12148/btv1b8538808p.r=.langFR
57	BOULOGNE-SUR-MER, Bibliothèque municipale, 0093	14-15	1380-1420	Orationes, Lectiones et Horae	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=11968&VUE_ID=1322202	Textualis	Formata	28	1	
1687	PARIS, Bibliothèque nationale de France, Manuscrits, nouv. acq. lat. 302	16 (1/3)	1533			Cursiva	Formata	24	1	http://gallica.bnf.fr/ark:/12148/btv1b525017457.r=.langFR http://gallica.bnf.fr/ark:/12148/btv1b52502484n.r=.langFR
